"","penalty",".metric",".estimator","mean","n","std_err",".config"
"1",0.14,"rmse","standard",11.0940039373103,10,0.196663478166955,"Preprocessor1_Model015"
"2",0.15,"rmse","standard",11.0940702164387,10,0.196612589420781,"Preprocessor1_Model016"
"3",0.13,"rmse","standard",11.0944962500142,10,0.196736408776444,"Preprocessor1_Model014"
"4",0.16,"rmse","standard",11.0946727507874,10,0.196752815449622,"Preprocessor1_Model017"
"5",0.12,"rmse","standard",11.096015372627,10,0.196785164333497,"Preprocessor1_Model013"
"6",0.17,"rmse","standard",11.0960257933867,10,0.19710404928322,"Preprocessor1_Model018"
"7",0.18,"rmse","standard",11.0977378631009,10,0.197516829405926,"Preprocessor1_Model019"
"8",0.11,"rmse","standard",11.0987437184079,10,0.196704982322911,"Preprocessor1_Model012"
"9",0.19,"rmse","standard",11.0999151480487,10,0.197835823105507,"Preprocessor1_Model020"
"10",0.1,"rmse","standard",11.1014349241421,10,0.196661063570666,"Preprocessor1_Model011"
"11",0.2,"rmse","standard",11.1022956003009,10,0.198106770168771,"Preprocessor1_Model021"
"12",0.09,"rmse","standard",11.1029430366135,10,0.196879603790115,"Preprocessor1_Model010"
"13",0.21,"rmse","standard",11.1048684708254,10,0.198291277537215,"Preprocessor1_Model022"
"14",0.08,"rmse","standard",11.1048938508713,10,0.196846365102323,"Preprocessor1_Model009"
"15",0.38,"rmse","standard",11.1067588450628,10,0.197635793547509,"Preprocessor1_Model039"
"16",0.39,"rmse","standard",11.1067817808324,10,0.197579072549425,"Preprocessor1_Model040"
"17",0.37,"rmse","standard",11.1068615156833,10,0.197699573508793,"Preprocessor1_Model038"
"18",0.4,"rmse","standard",11.1068839461928,10,0.197522363170547,"Preprocessor1_Model041"
"19",0.41,"rmse","standard",11.1069979994645,10,0.197510095837418,"Preprocessor1_Model042"
"20",0.36,"rmse","standard",11.1070904560484,10,0.197729978512651,"Preprocessor1_Model037"
