"","penalty","mixture",".metric",".estimator","mean","n","std_err",".config"
"1",0.1,0,"mn_log_loss","binary",0.551098874190959,5,0.00897881790902098,"Preprocessor1_Model002"
"2",0.2,0,"mn_log_loss","binary",0.551656991048255,5,0.00826202205284971,"Preprocessor1_Model003"
"3",0.1,0.1,"mn_log_loss","binary",0.552962624083206,5,0.00742998780608519,"Preprocessor1_Model013"
"4",0.3,0,"mn_log_loss","binary",0.553261567783472,5,0.00781686466540805,"Preprocessor1_Model004"
"5",0.4,0,"mn_log_loss","binary",0.555163246696808,5,0.00748206774301112,"Preprocessor1_Model005"
"6",0,0,"mn_log_loss","binary",0.555723356072975,5,0.0103963602602454,"Preprocessor1_Model001"
"7",0.1,0.2,"mn_log_loss","binary",0.556318047632657,5,0.0065161626031269,"Preprocessor1_Model024"
"8",0.5,0,"mn_log_loss","binary",0.557157935514418,5,0.00720884874782702,"Preprocessor1_Model006"
"9",0.2,0.1,"mn_log_loss","binary",0.559037817256609,5,0.00625997755306051,"Preprocessor1_Model014"
"10",0.6,0,"mn_log_loss","binary",0.559164459005486,5,0.0069740302621221,"Preprocessor1_Model007"
"11",0.1,0.3,"mn_log_loss","binary",0.560613808958606,5,0.00593241650516681,"Preprocessor1_Model035"
"12",0.7,0,"mn_log_loss","binary",0.561156169350608,5,0.00676589097738326,"Preprocessor1_Model008"
"13",0.8,0,"mn_log_loss","binary",0.563112413838039,5,0.00658190872708681,"Preprocessor1_Model009"
"14",0.9,0,"mn_log_loss","binary",0.565020395401919,5,0.00641608096162807,"Preprocessor1_Model010"
"15",0.1,0.4,"mn_log_loss","binary",0.566388337632237,5,0.00541878944767548,"Preprocessor1_Model046"
"16",1,0,"mn_log_loss","binary",0.566879013185489,5,0.00626080975075932,"Preprocessor1_Model011"
"17",0.3,0.1,"mn_log_loss","binary",0.567203665918946,5,0.00556940770190333,"Preprocessor1_Model015"
"18",0.2,0.2,"mn_log_loss","binary",0.570132200612999,5,0.00528311194231735,"Preprocessor1_Model025"
"19",0.1,0.5,"mn_log_loss","binary",0.573045166693509,5,0.0049490834944546,"Preprocessor1_Model057"
"20",0,1,"mn_log_loss","binary",0.57419390183463,5,0.0116879299323254,"Preprocessor1_Model111"
