Season,DayNum,WTeamID,WScore,LTeamID,LScore,WLoc,NumOT
2021,,1411,60,1291,52,,
2021,,1179,53,1455,52,,
2021,,1313,54,1111,53,,
2021,,1417,86,1277,80,,
2021,,1196,75,1439,70,,
2021,,1116,85,1159,68,,
2021,,1228,78,1180,49,,
2021,,1403,65,1429,53,,
2021,,1331,75,1326,72,,
2021,,1124,79,1216,55,,
2021,,1260,71,1210,60,,
2021,,1333,70,1397,56,,
2021,,1329,69,1251,60,,
2021,,1458,85,1314,62,,
2021,,1222,87,1156,56,,
2021,,1317,78,1345,69,,
2021,,1353,60,1155,56,,
2021,,1393,78,1361,62,,
2021,,1452,84,1287,67,,
2021,,1437,73,1457,63,,
2021,,1104,68,1233,55,,
2021,,1242,93,1186,84,,
2021,,1199,64,1422,54,,
2021,,1166,63,1364,62,,
2021,,1160,96,1207,73,,
2021,,1261,76,1382,61,,
2021,,1276,82,1411,66,,
2021,,1425,72,1179,56,,
2021,,1332,1,1433,0,,
2021,,1234,8,1213,74,,
2021,,1325,62,1438,58,,
2021,,1268,63,1163,54,,
2021,,1328,72,1281,68,,
2021,,1211,98,1313,55,,
2021,,1417,73,1140,62,,
2021,,1101,53,1400,52,,
2021,,1260,71,1228,58,,
2021,,1124,76,1458,63,,
2021,,1393,75,1452,72,,
2021,,1116,68,1403,66,,
2021,,1222,63,1353,60,,
2021,,1331,81,1196,78,,
2021,,1437,84,1317,61,,
2021,,1333,80,1329,70,,
2021,,1332,95,1234,80,,
2021,,1211,87,1328,71,,
2021,,1417,67,1101,47,,
2021,,1166,72,1325,58,,
2021,,1276,86,1261,78,,
2021,,1199,71,1160,53,,
2021,,1104,96,1268,77,,
2021,,1425,85,1242,51,,
2021,,1333,65,1260,58,,
2021,,1124,62,1437,51,,
2021,,1116,72,1331,70,,
2021,,1222,62,1393,46,,
2021,,1211,83,1166,65,,
2021,,1276,76,1199,58,,
2021,,1417,88,1104,78,,
2021,,1425,82,1332,68,,
2021,,1222,67,1333,61,,
2021,,1124,81,1116,72,,
2021,,1211,85,1425,66,,
2021,,1417,51,1276,49,,
2021,,1124,78,1222,59,,
2021,,1211,93,1417,90,,
2021,,1124,86,1211,70,,
